Date,Place,Display Name,Show,Means,Comment,Lon,Lat
01.01.,Inneringen Baden Württemberg,Inneringen,0,Car,,,
02.01.,"Thale, Sachsen Anhalt",Thale,0,Train,"Amy, Phine, Lukas",,
05.01.,"Göttingen, Niedersachsen",Göttingen,0,Train,,,
08.01.,München,München,1,Train,,,
15.01.,"Plansee, Österreich",Plansee,0,Car,Hiking,,
15.01.,München,München,1,Car,,,
04.02.,"St. Petersburg, Russland",St. Petersburg,1,Plane,,,
28.03.,"Helsinki, Finnland",Helsinki,1,Bus,,,
01.03.,Frankfurt,Frankfurt,1,Plane,,,
05.03.,"Saarbrücken ",Saarbrücken,1,Train,,,
07.03.,"Göttingen ",Göttingen,0,Train,,,
09.03.,Frankfurt,Frankfurt,1,Train,"With any in Ingis Apartment, ingi in Mallorca ",,
14.03.,"München ",München,1,Train,"Felsennelkenanger Studentenwohnheim ",,
18.03.,Frankfurt,Frankfurt,1,Train,Ingis Geburtstagswanderung (Rhein),,
21.03.,"München ",München,1,Train,,,
07.04.,Berlin,Berlin,1,Train,Shrija,,
09.04.,"Frankfurt ",Frankfurt,1,Train,"Bday Sigrid, Amy’s family arrives",,
10.04.,"Düsseldorf ",Düsseldorf,0,Train,,,
13.04.,Frankfurt,Frankfurt,1,Train,,,
15.04.,Leipzig,Leipzig,0,Car,"Ostern, Yanush",,
18.04.,Frankfurt,Frankfurt,1,Car,,,
20.04.,München,München,1,Train,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,